	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Area	Attrib	Course	Credits	Grd	Group	Source Code Key	Subj	Term	Title
4	Yes	)OR(		MTH		2000	4999	202008	MTH	2051	Discrete Mathematics		3.000	T	T											
5	No	)OR(		MTH		2XXX	4XXX																			
6		)																								
7	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	3.000	.00												
0	Area :	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET	PhysicsBach-Research-or-Tech ( 6.000 credits ) - NOT MET										
1	Met	Cond	Rule	Subj	Attrib	Low	High	Term	Subj	Crse	Title	Attrib	Credit	Grd	Srce											
2	NO		TECHNICAL	Physics Research or Technical	Physics Research or Technical	Physics Research or Technical	Physics Research or Technical	202008	MEE	2024	Solids Modeling		3.000	T	T											
3	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	Total Credits and GPA	3.000	.00												
0	Area :	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET	PhysicsBach-Humanities ( 3.000 credits ) - NOT MET										
1	Met	Cond	Rule	Subj	Attrib	Low	High	Term	Subj	Crse	Title	Attrib	Credit	Grd	Srce											
